,,,,,,,,,,
Austria,9,9,8,45,26,8,8,8,8,1953
Belgium,9,9,9,15,4,8,30,14,8,3798
Bulgaria,9,9,9,1,8,8,1302,8,8,1302
Croatia,9,8,8,2,11,8,8,8,8,968
Cyprus,9,9,9,8,8,8,30,8,6,314
Czech,,,,,,,,,,
Republic,9,8,8,35,8,9,8,8,8,2691
Denmark,N/A,N/A,N/A,5,50,9,8,8,8,N/A
Estonia,9,,,1,1,9,8,8,8,329
Finland,9,9,9,1,2,8,220,96,44,1958
France,9,9,9,6,59,8,1100,41,94,19622
Germany,9,9,9,13,50,9,40,11,31,27494
Greece,9,N/A,N/A,1,8,8,8,8,8,N/A
Hungary,9,8,8,1,4,8,8,8,8,1294
Ireland,9,9,9,2,8,8,20,8,10,590
Italy,9,N/A,N/A,8,4,8,8,8,8,N/A
Latvia,9,9,9,8,8,8,481,8,6,475
Lithuania,9,9,9,1,14,8,100,8,4,667
Luxembourg,9,9,9,6,8,8,90,8,30,527
Malta,9,9,8,2,8,8,131,8,8,131
Netherlands,9,9,9,6,23,8,100,50,8,5897
Poland,9,9,9,8,18,9,100,8,8,6182
Portugal,9,9,9,8,12,8,130,10,20,2921
Romania,9,9,9,11,23,8,315,8,8,4180
Slovakia,9,9,9,2,20,8,8,8,8,902
Slovenia,9,9,9,1,8,8,8,8,8,567
Spain,9,9,9,30,41,9,50,18,8,9305
Sweden,9,9,8,2,6,8,300,39,8,3727
United Kingdom,N/A,N/A,N/A,10,29,9,N/A,8,8,N/A
Norway,8,8,8,2,3,8,8,8,8,tbc
Switzerland,8,8,8,8,2,8,8,8,8,tbc
Liechtenstein,8,8,8,8,8,8,43,8,8,tbc
